Date,AAPL,MSFT,GOOGL,AMZN,META
2022-01-07,0.17095028717256014,0.2186176695444558,0.2692322630721233,0.24750106604765854,0.09369871416320226
2022-01-14,0.19734649654249098,0.219711768920895,0.2635768095191838,0.2429147994952619,0.07645012552216836
2022-01-21,0.20853328394095177,0.23397057899876567,0.26696115334389875,0.22731096703840842,0.0632240166779754
2022-01-28,0.2564725904517538,0.2365407225103012,0.24455897783367683,0.22166948268193173,0.04075822652233645
2022-02-04,0.2741628164826627,0.190759655993112,0.26706589959606636,0.23198968151146393,0.036021946416695004
2022-02-11,0.27108464178003533,0.1582738271009436,0.3000000004519363,0.22210404519872368,0.04853748546836112
2022-02-18,0.2545396725789897,0.15961942090868747,0.3000000007567469,0.22983138253004753,0.056009523225528476
2022-02-25,0.2594420558550755,0.16669238505244421,0.3000000004646697,0.2153542192532171,0.05851133937459348
2022-03-04,0.27207558655929104,0.17737612814517037,0.30000000076161365,0.19332093511800835,0.05722734941591654
2022-03-11,0.3000000009527151,0.18801766651631568,0.3000000009527151,0.16735468001134007,0.044627651566914006
2022-03-18,0.30000000093378487,0.179094901685472,0.30000000093378487,0.17735173808168692,0.04355335836527118
2022-03-25,0.3000000009192918,0.1610181152485734,0.3000000009192918,0.19598673675131387,0.04299514616152896
2022-04-01,0.30000000087922796,0.15228437921760565,0.30000000087922796,0.2022226008189348,0.045493018205003566
2022-04-08,0.3000000006992811,0.1565619435135804,0.3000000006992811,0.18937869442669952,0.05405936066115783
2022-04-14,0.3000000008488256,0.1719481967422547,0.3000000008488256,0.17747327800140428,0.050578523558689796
2022-04-22,0.3000000008332031,0.18433118597950807,0.3000000008332031,0.17274148098481662,0.042927331369269114
2022-04-29,0.3000000008349415,0.1898291823567553,0.3000000008349415,0.17068498113320238,0.0394858348401593
2022-05-06,0.3000000008240404,0.19046131577737324,0.3000000008240404,0.16878728712042443,0.04075139545412155
2022-05-13,0.30000000063536764,0.18586798216268066,0.30000000063536764,0.1684313758409186,0.04570064072566552
2022-05-20,0.30000000070897426,0.16858588175600311,0.30000000070897426,0.17632113815736136,0.05509297866868692
2022-05-27,0.3000000008754051,0.15216999776292872,0.3000000008754051,0.17740292086306866,0.0704270796231924
2022-06-03,0.30000000094401535,0.1278884782513123,0.30000000094401535,0.1914669815241857,0.08064453833647123
2022-06-10,0.30000000071824373,0.11080507122360127,0.30000000071824373,0.2063000432515211,0.08289488408839014
2022-06-17,0.3000000009127386,0.11670852439803421,0.3000000009127386,0.2029456653147072,0.08034580846178148
2022-06-24,0.30000000097863355,0.10781583597100444,0.30000000097863355,0.20993537985800256,0.08224878221372574
2022-07-01,0.3000000006146845,0.10462892548755968,0.3000000006146845,0.21871465353032007,0.07665641975275134
2022-07-08,0.3000000009841575,0.1022071832833689,0.3000000009841575,0.23314604759639607,0.06464676715191997
2022-07-15,0.30000000098780405,0.11014662657901006,0.30000000098780405,0.24221176487172416,0.0476416065736576
2022-07-22,0.3000000008670307,0.12204642361297288,0.3000000008670307,0.23872463900942836,0.039228935643537306
2022-07-29,0.3000000007672503,0.14775898768093748,0.3000000007672503,0.21386898083262657,0.03837202995193534
2022-08-05,0.3000000007784933,0.16929005489035573,0.3000000007784933,0.19155813020785992,0.03915181334479775
2022-08-12,0.3000000007442599,0.1742891038092088,0.3000000007442599,0.18501428314739843,0.04069661155487289
2022-08-19,0.30000000074933697,0.18439578229065293,0.30000000074933697,0.17133605448916203,0.04426816172151102
2022-08-26,0.30000000066367183,0.22294187389528886,0.2846326038611663,0.14186970604258214,0.05055581553729096
2022-09-02,0.3000000005731081,0.2756353004470477,0.2598909155124258,0.1154526290070061,0.049021154460412185
2022-09-09,0.3000000006579735,0.3000000006579735,0.23957660651317636,0.11290149465352084,0.0475218975173559
2022-09-16,0.3000000008068903,0.3000000008068903,0.237589402688029,0.11033766078068445,0.05207293491750597
2022-09-23,0.3000000007362984,0.3000000007362984,0.25263878166391357,0.10294694812066042,0.04441426874282917
2022-09-30,0.30000000074081173,0.2854884329393779,0.2758768300059881,0.10359738064696905,0.035037355666853204
2022-10-07,0.30000000068754207,0.23595823733406188,0.30000000068754207,0.13357142358816881,0.030470337702685278
2022-10-14,0.30000000074642313,0.20755754763834972,0.30000000074642313,0.1645022788306339,0.027940172038170157
2022-10-21,0.2778396483041575,0.19624721700044512,0.3000000009563218,0.19869011256949504,0.02722302116958054
2022-10-28,0.2895860834532604,0.20186073547904723,0.30000000055567044,0.18355011006978073,0.02500307044224135
2022-11-04,0.3000000008700561,0.21102542833706459,0.3000000008700561,0.15797089288798682,0.031003677034836346
2022-11-11,0.30000000071531624,0.1932298031895264,0.30000000071531624,0.16930904969886465,0.03746114568097645
2022-11-18,0.3000000009685252,0.17546327044583715,0.3000000009685252,0.18850209330361256,0.036034634313499896
2022-11-25,0.300000000861059,0.16562530727378413,0.300000000861059,0.19827391312319148,0.036100777880906404
2022-12-02,0.30000000060507925,0.16146045876655485,0.30000000060507925,0.20307224538866797,0.0354672946346188
2022-12-09,0.30000000079262346,0.16176452971356928,0.30000000079262346,0.2041565687527916,0.034078899948392215
2022-12-16,0.30000000070775107,0.18758023443999183,0.28041001280571215,0.19942075551282562,0.03258899653371938
2022-12-23,0.30000000051522274,0.22206787157737745,0.23428876682442268,0.21134807019731938,0.03229529088565772
