Strategy,Ann_Return,Ann_Volatility,Sharpe_Ratio,Sortino_Ratio,Max_Drawdown,Calmar_Ratio,VaR_95,CVaR_95
DSR_Constrained_2022,-0.34340745280201923,0.324479955948216,-1.0583317906293845,-2.2563887017511592,-0.3395711157191848,-1.0112975954233014,-0.06363327464148846,-0.08031178697033488
DSR_Unconstrained_2022,-0.35231910804222455,0.3242866018615229,-1.0864436150608285,-2.2861300565011815,-0.3483636133262093,-1.0113545001966417,-0.060725328020817315,-0.0800873387928261
EqualWeight_2022,-0.3979973273000085,0.33980978030988856,-1.1712356452396866,-2.420859508272641,-0.42324765012279847,-0.9403414931767158,-0.07644502986865243,-0.08379084068950322
