"AAPL","MSFT","GOOGL","AMZN","META","Date"
0.0599631798846386,0.250429091011943,0.3,0.0896077291034183,0.3,2023-12-15
0.0450981341764095,0.274521216610269,0.3,0.080369813540741,0.300010835672581,2023-12-22
0.0446971661060166,0.276168863944143,0.3,0.0791191476965441,0.300014822253296,2023-12-29
0.0549930603545633,0.265081926491478,0.3,0.0798995503837853,0.300025462770174,2024-01-05
0.0648813295773752,0.254514647358882,0.3,0.0806040230637426,0.3,2024-01-12
0.0727462469203761,0.24706819059695,0.3,0.0801855624826741,0.3,2024-01-19
0.0789733817691047,0.240840411033176,0.3,0.0801862071977195,0.3,2024-01-26
0.0846027147467498,0.233843089503591,0.3,0.0815541957496596,0.3,2024-02-02
0.0916246065787508,0.232538202145527,0.3,0.075837191275722,0.3,2024-02-09
0.116417975111158,0.207425980148285,0.3,0.0761560447405568,0.3,2024-02-16
0.131027970192168,0.181868788309412,0.3,0.0871032414984198,0.3,2024-02-23
0.13389460107025,0.153553700840357,0.3,0.130504378458069,0.282047319631323,2024-03-01
0.152752018407158,0.160370985374551,0.3,0.205272835296562,0.181604160921729,2024-03-08
0.184445877699316,0.11420285626425,0.3,0.285472518132582,0.115878747903852,2024-03-15
0.243398685174189,0.0685886872799628,0.3,0.3,0.0880126275458484,2024-03-22
0.3,0.0509514504457728,0.285972461085029,0.300001829782175,0.0630742586870236,2024-03-28
0.3,0.0599820350952233,0.266399805484373,0.3,0.0736181594204034,2024-04-05
0.300018132613572,0.0660828144823558,0.255317819750369,0.3,0.0785812331537033,2024-04-12
0.300006140923759,0.0634908295933666,0.253892516745839,0.3,0.0826105127370352,2024-04-19
0.300012754605642,0.0669393760828468,0.249545477917058,0.3,0.0835023913944533,2024-04-26
0.300047680302126,0.0755386134655776,0.223254574948313,0.3,0.101159131283983,2024-05-03
0.300045942852276,0.0980037401183407,0.200180101547015,0.3,0.101770215482368,2024-05-10
0.300038259517397,0.109948368601141,0.190256366847135,0.3,0.0997570050343278,2024-05-17
0.300021675501148,0.111769225481276,0.191497473758597,0.3,0.0967116252589793,2024-05-24
0.3,0.110423403250625,0.195462111654102,0.296976030661149,0.0971384544341246,2024-05-31
0.3,0.12916147483279,0.222093971114056,0.247296263672732,0.101448290380421,2024-06-07
0.3,0.142898824829652,0.241040743554231,0.196877104268013,0.119183327348104,2024-06-14
0.3,0.129809084740776,0.28568392906067,0.13942203584784,0.145084950350714,2024-06-21
0.166538437008878,0.134270314418094,0.3,0.105657708624277,0.293533539948751,2024-06-28
0.116188932504368,0.172045921410866,0.3,0.111765146084766,0.3,2024-07-05
0.0887000275363425,0.214610057657211,0.3,0.0966899148064462,0.3,2024-07-12
0.0630745016422553,0.278062485921308,0.3,0.0588630124364363,0.3,2024-07-19
0.0577621886045832,0.29297715703606,0.3,0.0492021777162825,0.300058476643075,2024-07-26
0.0703324684639329,0.3,0.270966634694802,0.0586984943608628,0.300002402480403,2024-08-02
0.0799036135492046,0.3,0.251346196424673,0.0687471542871468,0.300003035738975,2024-08-09
0.109430205392612,0.3,0.225314954498171,0.0652535406726738,0.300001299436544,2024-08-16
0.140050190994616,0.297534231165817,0.192480761713126,0.0699348161264405,0.3,2024-08-23
0.165906829065857,0.299792060628617,0.155676081245328,0.0786250290601977,0.3,2024-08-30
0.205538303792651,0.3,0.125781350034523,0.0834559123226426,0.285224433850183,2024-09-06
0.265848038429205,0.3,0.10873182181903,0.104044722133791,0.221375417617974,2024-09-13
0.296215849132444,0.3,0.118422225101971,0.119310345028093,0.166051580737492,2024-09-20
0.2784046651054,0.3,0.150895951155495,0.138902258930721,0.131797124808385,2024-09-27
0.224196395522457,0.3,0.178101557574408,0.174476249828212,0.123225797074923,2024-10-04
0.184355017997026,0.3,0.188830112223372,0.190734574181596,0.136080295598006,2024-10-11
0.162041746319391,0.3,0.178833931657194,0.216001949794965,0.14312237222845,2024-10-18
0.148096633287587,0.3,0.166119161346073,0.23073420128375,0.15505000408259,2024-10-25
0.135625473490584,0.3,0.156273936062627,0.244904496856132,0.163196093590656,2024-11-01
0.140272084915725,0.3,0.14702396172147,0.264022795532008,0.148681157830797,2024-11-08
0.163436836307173,0.3,0.141596503803517,0.248250027420868,0.146716632468442,2024-11-15
0.195160674257194,0.3,0.135014424288712,0.233993229492065,0.135831671962029,2024-11-22
0.239141288335717,0.287639371129824,0.109577626703503,0.240755799469039,0.122885914361918,2024-11-29
0.287232720550596,0.25286649749824,0.110443109384732,0.245380302512521,0.10407737005391,2024-12-06
0.3,0.243050144285939,0.121530841404801,0.233446251941524,0.101972762367735,2024-12-13
0.3,0.243675930662059,0.113412701095852,0.244125390090714,0.0987859781513751,2024-12-20
0.3,0.250082579146054,0.104457122552715,0.244488876829101,0.10097142147213,2024-12-27
0.3,0.253728878807129,0.102462306981484,0.239447516568783,0.104361297642604,2024-12-30
