"Strategy","Ann_Return","Ann_Volatility","Sharpe_Ratio","Sortino_Ratio","Max_Drawdown","VaR_95","CVaR_95","Calmar_Ratio","Ann_Return_Pct","Ann_Volatility_Pct","Max_Drawdown_Pct","VaR_95_Pct","CVaR_95_Pct"
"DSR_Constrained",0.525972454954405,0.209844868756322,2.50648232702406,0.201573858629593,0.143095533268076,0.0216670371674791,0.0298862040727188,3.67567346752219,"52.60%","20.98%","14.31%","2.17%","2.99%"
"DSR_Unconstrained",0.691248851030335,0.229218906030069,3.0156711896167,0.245257085386352,0.128739147940308,0.0211336775347996,0.0301439582272027,5.36937568788979,"69.12%","22.92%","12.87%","2.11%","3.01%"
"EqualWeight",0.431861578292183,0.202483626249247,2.13282222514419,0.172529366047889,0.144335417711013,0.0217016226483521,0.0300782416367568,2.99206934196048,"43.19%","20.25%","14.43%","2.17%","3.01%"
